No,Airport,Flights,Size,Name,Lat,Lon
132,SIT,2,2,Sitka Rocky Gutierrez Airport,57.04710007,-135.3619995
133,YAK,2,2,Yakutat Airport,59.50329971,-139.6600037
134,OTZ,2,2,Ralph Wien Memorial Airport,66.88469696,-162.598999
135,OME,2,2,Nome Airport,64.5121994,-165.4450073
136,LEX,2,2,Blue Grass Airport,38.03649902,-84.60590363
137,FAR,2,2,Hector International Airport,46.92070007,-96.81580353
138,GUC,2,2,Gunnison Crested Butte Regional Airport,38.53390121,-106.9329987
139,GSP,2,2,Greenville Spartanburg International Airport,34.89569855,-82.21890259
140,ILM,2,2,Wilmington International Airport,34.27059937,-77.90260315
141,PSG,2,2,Petersburg James A Johnson Airport,56.80170059,-132.9450073
142,IAG,2,2,Niagara Falls International Airport,43.1072998,-78.94619751
143,PBG,2,2,Plattsburgh International Airport,44.65090179,-73.4681015
144,MLB,2,2,Melbourne International Airport,28.10280037,-80.64530182
145,ORH,2,2,Worcester Regional Airport,42.26729965,-71.8757019
146,FSD,2,2,Joe Foss Field Airport,43.58200073,-96.74189758
147,HSV,2,2,Huntsville International Carl T Jones Field,34.6371994,-86.77510071
148,TLH,1,2,Tallahassee Regional Airport,30.39649963,-84.35030365
149,EVV,1,2,Evansville Regional Airport,38.03699875,-87.53240204
150,ATW,1,2,Appleton International Airport,44.2580986,-88.51909637
151,ADQ,1,2,Kodiak Airport,57.75,-152.4940033
152,JAN,1,2,Jackson-Medgar Wiley Evers International Airport,32.31119919,-90.07589722
153,MDT,1,2,Harrisburg International Airport,40.19350052,-76.76339722
154,XNA,1,2,Northwest Arkansas Regional Airport,36.281898,-94.306801
155,AVL,1,2,Asheville Regional Airport,35.43619919,-82.54180145
156,GRB,1,2,Austin Straubel International Airport,44.48509979,-88.12960052
157,AVP,1,2,Wilkes Barre Scranton International Airport,41.33850098,-75.7233963
158,BET,1,2,Bethel Airport,60.77980042,-161.8379974
159,BIS,1,2,Bismarck Municipal Airport,46.77270126,-100.7460022
160,SGF,1,2,Springfield Branson National Airport,37.24570084,-93.38860321
161,GPT,1,2,Gulfport Biloxi International Airport,30.40730095,-89.07009888
162,CHO,1,2,Charlottesville Albemarle Airport,38.1385994,-78.45290375
163,CID,1,2,The Eastern Iowa Airport,41.88470078,-91.71080017
164,FAY,1,2,Fayetteville Regional Grannis Field,34.99119949,-78.88030243
165,FAT,1,2,Fresno Yosemite International Airport,36.77619934,-119.7180023
166,ROA,1,2,RoanokeŠ—–Blacksburg Regional Airport,37.32550049,-79.97540283
167,PGD,1,2,Charlotte County Airport,26.92020035,-81.9905014
168,LFT,1,2,Lafayette Regional Airport,30.20529938,-91.98760223
